Symbol,Name,Last,Change,%Chg,IV Rank,Options Vol,% Put,% Call,Put/Call Vol,Time
SOS,Sos Ltd,3.37,-0.43,-11.32%,7.46%,83267,6.0%,94.0%,0.06334044210607,05/28/21
LI,Li Auto Inc ADR,23.3,-0.35,-1.48%,0.00%,81891,70.3%,29.7%,2.3629419736356,05/28/21
CCIV,Churchill Capital IV [Lucid Motors],19.72,-0.16,-0.80%,0.00%,80068,20.7%,79.3%,0.26141000393856,05/28/21
UBER,Uber Technologies Inc,50.83,0.12,+0.24%,11.38%,79082,37.1%,62.9%,0.59013130114813,05/28/21
GPS,Gap Inc,33.45,-1.7,-4.84%,3.69%,78563,31.3%,68.7%,0.45535548886666,05/28/21
GM,General Motors Company,59.31,-0.46,-0.77%,0.47%,78347,35.0%,65.0%,0.53736117106864,05/28/21
HPQ,HP Inc,29.23,-2.87,-8.94%,3.53%,77334,47.4%,52.6%,0.89972486980446,05/28/21
PDD,Pinduoduo Inc ADR,124.88,5.22,+4.36%,1.34%,77053,21.2%,78.8%,0.26930236389095,05/28/21
FSR,Fisker Inc,13.26,-0.35,-2.57%,13.00%,76988,54.1%,45.9%,1.1791112369091,05/28/21
WKHS,Workhorse Grp,9.37,-0.25,-2.60%,5.33%,75405,20.0%,80.0%,0.24991711974539,05/28/21
XPEV,Xpeng Inc ADR,32.13,-0.26,-0.80%,2.21%,74840,40.3%,59.7%,0.67423547571643,05/28/21
DIS,Walt Disney Company,178.65,-0.38999999999999,-0.22%,0.00%,74684,37.6%,62.4%,0.60204212964949,05/28/21
WFC,Wells Fargo & Company,46.72,-0.039999999999999,-0.09%,1.39%,74589,30.1%,69.9%,0.42967492141379,05/28/21
VTNR,Vertex Energy,7.81,3.82,+95.74%,10.15%,72711,49.5%,50.5%,0.97987746766508,05/28/21
ITUB,Itau Unibanco Banco Holding S.A.,5.7,0.14,+2.52%,5.73%,72242,84.3%,15.7%,5.3705467372134,05/28/21
COST,Costco Wholesale,378.27,-9.23,-2.38%,4.50%,71353,42.3%,57.7%,0.73161675484153,05/28/21
BIDU,Baidu Inc,196.27,1.46,+0.75%,5.15%,70571,21.8%,78.2%,0.27924808759018,05/28/21
SNOW,Snowflake Inc Cl A,238.03,-7.12,-2.90%,3.63%,70393,25.8%,74.2%,0.34726023464564,05/28/21
CRON,Cronos Group Inc,9.01,1.19,+15.22%,20.74%,70197,6.2%,93.8%,0.066240354821071,05/28/21
NCLH,Norwegian Cruise Ord,31.9,-0.52,-1.60%,0.00%,67503,30.0%,70.0%,0.42866515693454,05/28/21
DAL,Delta Air Lines Inc,47.68,-0.37,-0.77%,1.14%,67202,20.4%,79.6%,0.25618258967793,05/28/21
